gamma 2306.3901 2007.2258 248.89526 1
pulsar 2143.827 2558.9058 232.77615 1
mono 742.0448 549.88513 16.117819 1
poly 1688.9075 2366.342 76.57436 1
flare 1205.0076 1163.9703 238.78549 1
corvus 2187.2874 2454.423 39.16194 1
mono 771.85895 538.18604 82.79318 1
poly 2068.034 2321.4902 274.3436 1
vela 1805.4518 2353.4043 71.19728 1
poly 2077.7805 2304.1858 276.6223 1
flare 969.1952 696.3118 231.20287 1
mega 1160.8306 705.57745 32.525105 1
mega 1714.0499 1575.2043 50.7128 1
vela 1887.8694 2345.4382 66.07694 1
vela 2288.2507 2417.3904 145.25302 1
pulsar 2329.9226 2364.3901 43.5007 1
corvus 2244.9346 2454.1975 48.435272 1
corvus 2259.333 2429.0056 55.07045 1
mega 1933.2832 2484.6902 166.6036 1
eclipse 2209.7307 2502.5574 33.65014 1
mega 1945.7328 2494.775 171.58754 1
mega 1944.6171 2513.104 176.7313 1
flare 2153.5793 1527.6793 300.8828 1
mega 2045.5311 2421.0896 65.38442 1
corvus 2219.845 2534.8918 26.90293 1
flare 959.04865 711.5579 203.76035 1
mega 1933.5785 2524.7554 181.69725 1
mono 761.6421 525.37213 70.64255 1
toxopid 2197.2112 2590.8438 9.501506 1
mega 1957.8276 2478.013 167.14172 1
mega 2181.3313 2111.9343 56.143547 1
oct 2303.3752 2398.52 212.06165 1
poly 1918.2115 2280.6086 65.05527 1
poly 2106.5225 2330.3042 288.79156 1
toxopid 2187.8716 2615.3577 2.3935823 1
poly 2097.6257 2310.2917 280.68866 1
poly 2034.4755 2310.9163 261.54166 1
mono 765.9632 540.97644 68.79255 1
poly 2117.877 2323.9058 108.821175 1
toxopid 2180.6677 2669.291 348.10703 1
flare 1971.9263 1410.5139 -4.5097904 1
poly 2060.663 2301.6143 90.332954 1
mega 1994.1979 1237.5126 31.06981 1
flare 2137.3652 1390.8346 178.11215 1
flare 2343.4707 1561.942 165.41345 1
pulsar 2170.1743 2490.9392 187.08893 1
flare 1810.0958 1182.874 35.02436 1
corvus 2195.3457 2482.2808 35.302486 1
flare 2055.5547 1977.4779 229.86888 1
corvus 2159.95 2464.1008 34.17196 1
corvus 2274.0095 2456.4329 54.054333 1
corvus 2213.816 2413.881 49.14992 1
flare 907.8673 615.23193 230.3702 1
mega 1953.0542 2528.1252 182.43077 1
quasar 2356.5303 2391.7986 309.38702 1
toxopid 2328.3186 2354.8728 137.4361 1
mega 1941.3563 2470.8174 161.95168 1
poly 2080.3591 2337.9377 95.89101 1
mega 1947.7257 2559.2146 194.00912 1
poly 2054.829 2313.8987 272.1701 1
flare 923.9761 629.05054 229.48772 1
